Id,Attributes,Name,Vintage,Appellation,Region,WineType,Vineyard,RatingScore,PriceRetail,UnqWordInd,Attribute_94+ Rated Wine,Attribute_Big &amp; Bold,Attribute_Boutique Wines,Attribute_Business Gifts,Attribute_Collectible Wines,Attribute_Earthy &amp; Spicy,Attribute_Great Bottles to Give,Attribute_Green Wines,Attribute_Kosher Wines,Attribute_Older Vintages,Attribute_Private Cellar List,Attribute_Rich &amp; Creamy,Attribute_Screw Cap Wines,Attribute_Smooth &amp; Supple,Region_California,Region_Israel,Region_Italy,Region_South Africa,Region_South America,Region_Spain,Region_Washington
120375,Big &amp; Bold,Shafer Hillside Select Cabernet Sauvignon 1994,1994,Napa Valley,California,Cabernet Sauvignon,Shafer Vineyards,99,419.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
123425,Collectible Wines,Bryant Family Cabernet Sauvignon 2010,2010,Napa Valley,California,Cabernet Sauvignon,Bryant Family,99,639.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
133776,Big &amp; Bold,Pride Mountain Vineyards Reserve Cabernet Sauvignon 1996,1996,Sonoma County,California,Cabernet Sauvignon,Pride Mountain Vineyards,99,259.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
121474,Big &amp; Bold,Schrader RBS To Kalon Vineyard Cabernet Sauvignon 2010,2010,Napa Valley,California,Cabernet Sauvignon,Schrader Cellars,99,389.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
119621,Collectible Wines,Spottswoode Cabernet Sauvignon 2002,2002,Napa Valley,California,Cabernet Sauvignon,Spottswoode Estate Vineyard & Winery,99,209.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
100679,Collectible Wines,Pride Mountain Vineyards Reserve Cabernet Sauvignon (1.5 liter bottle) 2001,2001,North Coast,California,Cabernet Sauvignon,Pride Mountain Vineyards,99,709.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
99492,Boutique Wines,Hundred Acre Kayli Morgan Cabernet Sauvignon 2006,2006,Napa Valley,California,Cabernet Sauvignon,Hundred Acre,99,325.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
139487,Big &amp; Bold,Schrader RBS To Kalon Vineyard Cabernet Sauvignon 2004,2004,Napa Valley,California,Cabernet Sauvignon,Schrader Cellars,99,399.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
108682,Big &amp; Bold,Hundred Acre Ark Vineyard Cabernet Sauvignon 2008,2008,Napa Valley,California,Cabernet Sauvignon,Hundred Acre,99,249.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
139484,Collectible Wines,Schrader T6 Beckstoffer To Kalon Cabernet Sauvignon 2003,2003,Napa Valley,California,Cabernet Sauvignon,Schrader Cellars,99,499.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
